song,singer,genre,album,userRating
Ishq Chupta Nahi,Abhijeet,Romantic,Bewafaa,8.9/10
Tu Jahaan,Sonu Nigam,RomanticSad,Salaam Namaste,9.4/10
Girls Like To Swing,Sunidhi Chauhan,Dance,Dil Dhadakne Do,9.1/10
Tu Kamaal Di Kudi,"Mamta Sharma, Vineet Singh",Dance,Son of Sardaar,8.5/10
Tu Kamaal Di Kudi,"Mamta Sharma, Vineet Singh",Dance,Son of Sardaar,8.5/10
Sapne Mein,"Asha Bhosle, Suresh Wadkar",Dance,Satya,9.3/10
Dekho Dekho Jaanam,"Alka Yagnik, Udit Narayan",Dance,Ishq,9.3/10
Chhan Ke Mohalla,"Ritu Pathak, Sunidhi Chauhan",Dance,Action Replayy,9.4/10
Kaahe Chhed,"Kavita Krishnamurthy, Madhuri Dixit, Pandit Birju Maharaj",Dance,Devdas,9.2/10
Aate Jaate Jo Milta Hai,"Alka Yagnik, Sonu Nigam",Dance,Har Dil Jo Pyar Karega,9.4/10
Uff Teri Adaa I Like You,"Alyssa Mendonsa, Shankar Mahadevan",Dance,Karthik Calling Karthik,9.6/10
Pant Mein Gun,Diljit Dosanjh,Dance,Welcome To New York,9.0/10
Bachna Ae Haseeno,"Kishore Kumar, Sumit Kumar, Vishal Dadlani",Dance,Bachna Ae Haseeno,9.3/10
Ang Se Ang Lagana,"Alka Yagnik, Devki Pandit, Sudesh Bhosle, Vinod Rathod",Dance,Darr,8.0/10
Janib (Duet),"Arijit Singh, Sunidhi Chauhan",Romantic,Dilliwaali Zaalim Girlfriend,9.6/10
Seedha Saadha,Amit Mishra,Sad,Commando 2,9.3/10
Aaya Re,"Kunal Ganjawala, Sunidhi Chauhan",Dance,Chup Chup Ke,9.0/10
Koi Fariyaad,Jagjit Singh,Sad,Tum Bin,9.4/10
Rangreli,"Shreya Ghoshal, Wajid",Dance,Daawat e Ishq,9.4/10
Loot Jayenge,"Jayesh Gandhi, Kunal Ganjawala",Dance,Aksar,8.9/10
Pyar Kiya To Darna Kya,Lata Mangeshkar,Dance,Mughal-E-Azam,8.6/10
Hum To Bhai Jaise Hain,Lata Mangeshkar,Dance,Veer Zaara,9.2/10
Jatt Jaguar,"Apeksha Dandekar., Navraj Hans, Vishal Dadlani",Dance,Mubarakan,9.2/10
Yaad Aa Raha Ha,Bappi Lahiri,Dance,Disco Dancer,8.5/10
Glamorous Ankhiyaan,"Anjjan, Krishna Beura, Meet Bros",Dance,Ek Paheli Leela,8.9/10
Kitni Mohabbat Kis Ko,"Alka Yagnik, Kumar Sanu, Udit Narayan",Romantic,Deewane,8.5/10
Tera Mera Rishta Purana,Mustafa Zahid,Sad,Awarapan,9.1/10
Bin Tere,"Shafqat Amanat Ali, Sunidhi Chauhan",Sad,I Hate Luv Storys,9.6/10
Tere Dil Ka Rishta,Sonu Nigam,Romantic,Koi Aap Sa,9.2/10
Om Mangalam,"Nindy Kaur, RDB",Dance,Kambakkht Ishq,9.5/10
Chhupana Bhi Nahin Aata,Vinod Rathod,Romantic,Baazigar,9.2/10
Hum Pyar Karne Wale,"Adnan Sami, Anuradha Paudwal, Udit Narayan",Romantic,Dil,7.8/10
Khwabon Khwabon,K.K. Suchitra,Dance,Force,9.4/10
Yeh Haseen Vadiyan Yeh Khula Aasman,"A.R. Rahman, K. S. Chithra, S.P. Balasubrahmanyam",Romantic,Roja,9.5/10
Yeh Hawa Yeh Bata,Lata Mangeshkar,Dance,Ghazab,7.2/10
Khulke Dulke,"Gippy Grewal, Harshdeep Kaur",Dance,Befikre,9.0/10
Musu Musu,Shaan,Romantic,Pyaar Mein Kabhi Kabhi,9.6/10
Sajh Dhaj Ke,"Mika Singh, Pankaj Kapur",Dance,Mausam,9.4/10
Dhiktana – 2,"Lata Mangeshkar, S.P. Balasubrahmanyam, Udit Narayan",Dance,Hum Aapke Hain Koun,8.2/10
Pinky,"Mamta Sharma, Meet Bros Anjjan",Dance,Zanjeer,9.3/10
Mujhe Kitna Pyar Hai Tumse,"Lata Mangeshkar, Mohammed Rafi",Romantic,Dil Tera Deewana,8.8/10
The Disco Song (Remix),"Benny Dayal, Salim Merchant, Shahid Mallaya, Sunidhu Chauhan, Udit Narayan",Dance,Student of the Year,9.5/10
Yeh Ishq Hai Gunah,"Sukhwinder Singh, Sunidhi Chauhan",Romantic,Madhoshi,8.0/10
Kabhi Shaam Dhale,Lucky Ali,Dance,Sur,9.0/10
In Lamhon Ke Daaman Mein,Javed Ali,Romantic,Jodha Akbar,9.2/10
Agar Main Kahoon,"Alka Yagnik, Udit Narayan",Romantic,Lakshay,9.6/10
Kaddu Katega,Antara Mitra,Dance,R... Rajkumar,8.9/10
Ishaqzaade,"Javed Ali, Shreya Ghoshal",Dance,Ishaqzaade,9.4/10
Race 2 (Mashup),Multiple,Dance,Race 2,9.3/10
Allah Ke Bande,Kailash Kher,Sad,Waisa Bhi Hota Hai,9.6/10
Aisa Jadoo,Sunidhi Chauhan,Dance,Khakee,9.2/10
Saanson Ki Mala,Kavita Krishnamurthy,Dance,Koyla,8.7/10
Prabhu Ji,Asees Kaur,Devotional,High Jack,9.1/10
Baby Doll (Remix),"Kanika Kapoor, Meet Bros",Dance,Ragini MMS 2,8.9/10
Aa Tayar Hoja,Sunidhi Chauhan,Dance,Asoka,9.4/10
Humko Pyaar Hua,"K.K., Tulsi Kumar",Romantic,Ready,9.4/10
Jugni Peeke Tight Hai,"Divya Kumar, Kanika Kapoor, Sukriti Kakkar",Dance,Kis Kisko Pyaar Karoon,9.1/10
Mere Rang Mein Rangne Wali,"Asad Bhopali, S.P. Balasubrahmanyam",Romantic,Maine Pyar Kiya,8.9/10
Toh Phir Aao,Mustafa Zahid,Sad,Awarapan,9.3/10
Ajnabi Mujhko Itna Bata,"Asha Bhosle, Jatin-Lalit, Udit Narayan",Romantic,Pyaar To Hona Hi Tha,9.0/10
Tu Mere Paas,Ankit Tiwari,Sad,Wazir,9.6/10
Dhat Teri Ki,"Aditi Singh Sharma, Sanam Puri",Dance,Dhat Teri Ki,9.5/10
Der Se Aana Jaldi Jaana,"Alka Yagnik, Manhar Udhas",Dance,Khal Nayak,8.1/10
Jazba,Shilpa Rao,Dance,,9.4/10
Is This Love – Kahin Na Laage,"Mohit Chauhan, Shreya Ghoshal",Dance,Kismat Konnection,9.6/10
Bol Radha Bol,Mukesh,Romantic,Sangam,8.5/10
Tu Hi Khwahish,Sunidhi Chauhan,Dance,Once Upon A Time In Mumbaai Dobara,9.3/10
Chak De India,"Marianne D'Cruz, Salim Merchant, Sukhwinder Singh",Dance,Chak De India,9.4/10
Ruk Ja O Dil Deewane,Udit Narayan,Romantic,Dilwale Dulhania Le Jayenge,9.3/10
Nanga Punga Dost,Shreya Ghoshal,Dance,PK,8.8/10
Tanhayee,Sonu Nigam,Sad,Dil Chahta Hai,9.3/10
Beat It Bijuriya,"Asees Kaur, Renesa Baadchi",Dance,Munna Michael,8.8/10
Tum Saath Ho Jab Apne,"Asha Bhosle, Kishore Kumar",Dance,Kaalia,9.0/10
Most Wanted Munda,"Earl Edgar, Meet Bros",Dance,Ki & Ka,9.3/10
Mehram,Arijit Singh,Dance,Kahaani 2,9.1/10
Naina,Rahat Fateh Ali Khan,Sad,Omkara,9.2/10
Sab Kuchh Bhula Diya,"Sapna Awasthi, Sonu Nigam",Sad,Hum Tumhare Hain Sanam,8.7/10
Ungli Pe Nachalein,"Dev Negi, Shipra Goyal",Dance,Ungli,9.3/10
Do Me A Favour Let’s Play Holi,"Anu Malik, Sunidhi Chauhan",Dance,Waqt- The Race Against Time,8.7/10
Aise Na Mujhe Tum Dekho,Kishore Kumar,Romantic,Darling Darling,9.3/10
Kahin Door Jab Din Dhal Jaye,Mukesh,Romantic,Anand,9.4/10
Tanha Tanha Yahan Pe Jeena,Asha Bhosle,Dance,Rangeela,9.0/10
Khwahishein,Shreya Ghoshal,Romantic,Heroine,9.7/10
Zindagi Kaisi Hai Paheli,Manna Dey,Dance,Anand,9.3/10
Sachi Muchi,"Harshdeep Kaur, Mohit Chauhan",Dance,Sultan,8.7/10
Saawli Saloni Teri,"Alka Yagnik, Kumar Sanu",Romantic,Hum Sub Chor Hain,8.7/10
Soniye,"K.K., Sunidhi Chauhan",Romantic,Aksar,9.3/10
Koi Yeh Kaise Bataye,Jagjit Singh,Sad,Arth,9.4/10
Dekho Nashe Mein,"K.K., Shaan, Sunidhi Chauhan",Dance,Race,9.3/10
Mein Sharabi,Yo Yo Honey Singh,Dance,Cocktail,9.3/10
Ho Sarkay Leo Khattiya Jada Lage,"Kumar Sanu, Poornima",Romantic,Raja Babu,8.0/10
Nadiya Chale Chale Re Dhara,Manna Dey,Dance,Safar,8.6/10
Jiya Jale,"Lata Mangeshkar, M.G. Sreekumar",Dance,Dil Se,9.4/10
Manva Likes To Fly,Shalmali Kholgade,Dance,Tumhari Sulu,8.8/10
Aashayein,"KK, Salim Merchant",Motivational,Iqbal,9.5/10
Aur Kya,Abhijeet,DanceRomance,,9.5/10
Aisa Kyoon Hota Hai,Alka Yagnik,Romantic,Ishq Vishk,9.3/10
Aaja Shaam Hone Aayi,"Lata Mangeshkar, S.P. Balasubrahmanyam",Dance,Maine Pyar Kiya,8.7/10
Cocktail Mashup,Multiple,Dance,Cocktail,9.5/10
Teri Mehfil Mein Kismat Azmakar,"Lata Mangeshkar, Shamshad Begum.",Dance,Mughal-E-Azam,8.9/10
Pandey Jee Seeti,"Mamta Sharma, Shreya Ghoshal, Wajid",Dance,Dabangg 2,8.7/10
Ye Jawaani Teri,"Jonita Gandhi, Nakash Aziz",Dance,Meri Pyaari Bindu,9.4/10
Ghar Aaja Pardesi,,Dance,Dilwale Dulhania Le Jayenge,8.5/10
Kitaben Bahut Si,"Asha Bhosle, Vinod Rathod",Dance,Baazigar,8.8/10
Jahan Teri Yeh Nazar Hai,Kishore Kumar,Dance,Kaalia,9.3/10
Namak Paare,"Anupam Amod, Mamta Sharma",Dance,Raja Natwarlal,9.3/10
Nazdeekiyan,"Neeti Mohan, Nikhil Paul George",Romantic,Shaandaar,9.6/10
Jhumritalaiyya,"Arijit Singh, Mohan Kanan",Dance,Jagga Jasoos,9.3/10
Pyar Dilon Ka Mela Hai,"Alka Yagnik, Sonu Nigam",DanceRomantic,Dulhan Hum Le Jaayenge,9.1/10
Aap Ki Ankhon Mein Kuch,"Kishore Kumar, Lata Mangeshkar",Romantic,Ghar,9.2/10
Haawa Haawa,Mohit Chauhan,Dance,Rockstar,9.5/10
Baatein Ye Kabhi Na (Female),Palak Muchhal,Romantic,Khamoshiyan,9.5/10
Lakh Lakh,Neeraj Shridhar,Dance,Kambakkht Ishq,9.1/10
Yari Hai Imaan Mera,Manna Dey,Dance,Zanjeer,8.6/10
O Mere Sanam,"Lata Mangeshkar, Mukesh",Sad,Sangam,8.3/10
Daag,Sukhwinder Singh,Sad,Bhoomi,9.5/10
Koi Kahe Kehta Rahe,"K.K., Shaan, Shankar Mahadevan",Dance,Dil Chahta Hai,9.4/10
Mere Khayalon Ki Malika,Abhijeet,Romance,Josh,9.4/10
Krazzy 4,Vishal Dadlani,Dance,Krazzy 4,9.3/10
Sun Zara,Adnan Sami,Romantic,Lucky,9.4/10
Zinda Rehti Hain Mohabbatein,"Lata Mangeshkar, Udit Narayan",Sad,Mohabbatein,9.5/10
Titliyan,Sunidhi Chauhan,Dance,Rocky Handsome,9.3/10
Jeete Hain Chal,Kavita Seth,Sad,Neerja,9.6/10
Hum Tum,"Alka Yagnik, Babul Supriyo",Romantic,Hum Tum,9.4/10
Yun Hi Chala Chal,"Hariharan, Kailash Kher, Udit Narayan",Dance,Swades,9.4/10
Dooriyan,Mohit Chauhan,Sad,Love Aj Kal,9.4/10
Yeh Hum Aa Gaye Hain Kahaan,"Lata Mangeshkar, Udit Narayan",Romantic,Veer Zaara,9.4/10
Yaar Na Miley (Remix),"Jasmine Sandlas, Yo Yo Honey Singh",Dance,Kick,9.0/10
Yaar Naa Miley (Remix),"Jasmine Sandlas, Yo Yo Honey Singh",Dance,Kick,9.0/10
Joganiyan,Shruti Haasan,Romantic,Tevar,9.6/10
Huzur Is Kadar,"Bhupinder Singh, Suresh Wadkar",Dance,Masoom,9.4/10
Aye Zindagi Gale Lagaa Le,Suresh Wadkar,Romantic,Sadma,9.2/10
Surmayee Ankhiyon Mein,"Ilaiyaraaja, K.J. Yesudas",Romantic,Sadma,9.2/10
Meri Ada Bhi,"Rahat Fateh Ali Khan, Tulsi Kumar",DanceRomantic,Ready,9.3/10
Waada Raha Sanam,"Abhijeet, Alka Yagnik",DanceRomantic,Khiladi,9.3/10
Tumse Hi Tumse,"Caralisa Monteiro, Shekhar Ravjiani",Romantic,Anjaana Anjaani,9.6/10
"Gori Ka Sajan, Sajan Ki Gori","Mohammad Aziz, S. Janaki",Dance,Aakhree Raasta,8.6/10
Falak Dekhun,Sonu Nigam,Dance,Garam Masala,9.2/10
Shikdum,"Shaan, Shreya Ghoshal",DanceRomantic,Dhoom,9.2/10
Bezubaan,K.K.,Romantic,Laali Ki Shaadi Mein Laaddoo Deewana,8.5/10
Mere Bina Tu (Duet Version),"Harshdeep Kaur, Pritam",Sad,Phata Poster Nikhla Hero,9.4/10
Alisha,"Anushka Manchanda, Salim Merchant",Dance,Pyaar Impossible,9.4/10
Aaj Kal Yaad Kuch Aur Rehta Nahin,Mohammad Aziz,Romantic,Nagina,8.2/10
Dil Kho Gaya,"Anuradha Paudwal, Udit Narayan",Romantic,Dil,8.4/10
Sun Soniye,"Antara Mitra, Mohammed Irfan",Romantic,Ajab Gazabb Love,9.5/10
Baadal,Sunidhi Chauhan,Sad,Akira,9.5/10
Ae Mere Humsafar,"Alka Yagnik, Vinod Rathod",Romantic,Baazigar,8.9/10
Idhar Chala Mein Udhar Chala,"Alka Yagnik, Udit Narayan",Dance,Koi Mil Gaya,9.2/10
Kise Dhoondta Hai Pagal Sapare,Anuradha Paudwal,Dance,Nigahen,7.2/10
Mere Dushman Mere Bhai,Hariharan,Sad,Border,9.2/10
Aye Meri Zohra Jabeen,Manna Dey,Dance,Waqt,9.0/10
Aye Dil Laaya Hai Bahaar,"Hariharan, Kavita Krishnamurthy",Dance,Kya Kehna,9.4/10
Bad Baby,"Badshah, Gippy Grewal",Dance,Second Hand Husband,8.7/10
Dil Kyun Yeh Mera,K.K.,Romantic,Kites,9.5/10
Tum Se Milke,"Asha Bhosle, Suresh Wadkar",Romantic,Parinda,9.4/10
Dhup Chik,"Badshah, Raftaar",Dance,Fugly,9.3/10
Aadha Ishq,"Natalie Di Luccio, Shreya Ghoshal",Romantic,Band Baaja Baaraat,9.6/10
Pink Lips (Remix),Khushboo Grewal,Dance,Hate Story 2,9.0/10
Paathshaala,"Blaaze, Mohammed Aslam, Naresh Iyer",Dance,Rang De Basanti,9.6/10
Ala Barfi,Mohit Chauhan,Dance,Barfi,9.6/10
Kudi Tu Butter,Yo Yo Honey Singh,Dance,Bajatey Raho,9.4/10
Churiyan Kanak Gayee,"Ila Arun, Lata Mangeshkar, Moinuddin Manchala",Dance,Lamhe,8.9/10
Kapoor & Sons (Mashup),Multiple,Dance,Kapoor & Sons,9.4/10
Mujhse Dosti Karoge,"Alka Yagnik, Asha Bhosle, Udit Narayan",Romantic,Mujhse Dosti Karoge!,9.1/10
Hum To Dil Se Haare,"Alka Yagnik, Udit Narayan",Sad,Josh,9.1/10
Soniye,K.K.,Romantic,Heartless,9.7/10
Albela Sajan,"Kavita Krishnamurthy, Shankar Mahadevan, Ustad Sultan Khan",Dance,Hum Dil De Chuke Sanam,9.2/10
Ehsan Tera Hoga Mujh Par,Mohammed Rafi,Romantic,Junglee,9.6/10
Rola Pe Gaya,"Earl D'Souza, Hard Kaur, Mahadevan, Mahalakshmi Iyer, Master Saleem, Shankar",Dance,Patiala House,9.3/10
Bande Mein Tha Dum… Vande Mataram,"Pranab Biswas, Shreya Ghoshal, Sonu Nigam",Dance,Lage Raho Munna Bhai,9.4/10
Jawani Janeman,Asha Bhosle,Dance,Namak Halaal,9.1/10
Yahi Hota Pyaar,"Himesh Reshammiya, Sunidhi Chauhan",Sad,Namastey London,9.3/10
Jawani Janeman,Asha Bhosle,Dance,Namak Halaal,9.1/10
Aa Aa E Ooh Ooh Ooh Mera Dil Na Todo,Abhijeet,Dance,Raja Babu,8.9/10
Main To Raste Se Ja Raha Tha,"Alka Yagnik, Kumar Sanu",Romantic,Coolie No. 1,9.0/10
Awaarapan Banjarapan,M. M. Keeravani,Dance,Jism,9.4/10
Yeh Raat Aur Yeh Doori,"Asha Bhosle, S.P. Balasubrahmanyam",Dance,Andaz Apna Apna,9.3/10
Mere Dil Jigar Se Guzree Hai,"Alka Yagnik, Kumar Sanu",Dance,Soldier,8.5/10
Yeh Dil Jo Hai Badmaash Hai,"Mohit Chauhan, Monali Thakur, Shreya Ghoshal",Dance,Phir Se,9.4/10
Saawali Si Raat,Arijit Singh,Romantic,Barfi,9.8/10
Aaankhein Milayenge Darr Se,"K. Mohan, Neha Bhasin",Dance,Neerja,9.6/10
Ishq Vishq,"Kamaal khan, Sunidhi Chauhan, Suzanne D'Mello",Romantic,Wanted,9.2/10
Hoshwalon Ko Khabar Kya,Jagjit Singh,Sad,Sarfarosh,9.4/10
Ghoomar,"K.K., Sunidhi Chauhan",Dance,Chup Chup Ke,9.0/10
Dil Mere,Kumar Sanu,Dance,Sooryavansham,9.0/10
Mujhe Haq Hai,"Shreya Ghoshal, Udit Narayan",Romantic,Vivah,9.0/10
Musafir,Tushar Joshi,Romantic,Jagga Jasoos,9.5/10
Chalak Chalak,"Shreya Ghoshal, Udit Narayan, Vinod Rathod",Dance,Devdas,9.4/10
Subah Subah,"Shekhar Ravjiani, Vishal Dadlani, Zubeen Garg",Dance,I See You,9.5/10
Pyar Kar,"Lata Mangeshkar, Udit Narayan",Romantic,Dil To Pagal Hai,9.3/10
O Jaana Na Jaana,"Kumar Sanu, Lata Mangeshkar",Romantic,Jab Pyar Kisisi Se Hota Hai,9.3/10
Mhare Hiwra Main Nache Mor,"Alka Yagnik, Anuradha Paudwal, Hariharan, Kavita Krishnamurthy, Kumar Sanu, Udit Narayan",Dance,Hum Saath-Saath Hain,8.6/10
Raitaa Phail Gayaa,Divya Kumar,Dance,Shaandaar,9.2/10
Tere Bina,Rahat Fateh Ali Khan,Romantic,Tezz,9.2/10
Sava Dollar (Lavni),Sunidhi Chauhan,Dance,Aiyyaa,9.1/10
Baba Meri Yeh Jawani,Falguni Pathak,Dance,Ghaath,8.6/10
Deewana Main Chala,Udit Narayan,Dance,Pyaar Kiya To Darna Kya,9.2/10
Zindagi Ki Yahi Reet Hai,Kishore Kumar,Dance,Mr. India,9.1/10
Chak De,"Sadhana Sargam, Sonu Nigam",Dance,Hum Tum,9.3/10
Sirf Tum,"Anuradha Paudwal, Hariharan",Dance,Sirf Tum,8.6/10
Dum Dum Diga Diga,Mukesh,Dance,Chhalia,9.2/10
Aankhon Ne Tumhari,"Alka Yagnik, Kumar Sanu",Romantic,Ishq Vishk,9.3/10
Tanha Tanha,"Aditi Paul, Jubin Nautiyal",Romantic,Dil Jo Na Keh Saka,9.0/10
Heer,"Mahalakshmi, Mika Singh",Romantic,Baa Baaa Black Sheep,8.0/10
Wat Wat Wat,"Arijit Singh, Shashwat Singh",Dance,Tamasha,9.5/10
Tanha Tanha Ghum Ke Dhunde Dil,"Aditi Paul, Jubin Nautiyal",Romantic,Dil Jo Na Keh Saka,9.0/10
Pyar Ki Raahen,Shaan,Sad,Bewafaa,9.4/10
Aap Ki Khatir,Himesh Reshammiya,Romantic,Aap Ki Khatir,9.3/10
Saat Rang Mein Khel Rahi Hain,"Amit Kumar, Anuradha Paudwal",Dance,Aakhir Kyon,7.8/10
Jaadoo Jaadoo,"Adnan Sami, Alka Yagnik",Dance,Koi Mil Gaya,8.2/10
Yaadon Mein,"Cuca Roseta, Jonita Gandhi, Mohammed Irfan",Sad,Jab Harry Met Sejal,9.6/10
Dil Deewana Bin Sajna Ke,S.P. Balasubrahmanyam,Dance,Maine Pyar Kiya,9.0/10
Chori Chori Chupke Chupke,"Alka Yagnik, Babul Supriyo",Dance,Chori Chori Chupke Chupke,8.8/10
Behene De,"Karthik, Mohammed Irfan",Dance,Raavan,9.3/10
O Re Kanchi,"Alka Yagnik, Shaan",Dance,Asoka,9.4/10
Rasiya,Shruti Pathak,Sensual,Kurbaan,8.5/10
Meri Zindagi Ek Pyaas,"Jaspinder Narula, Shankar Mahadevan",Sad,Judaai,8.6/10
Tum Jo Aaye,Rahat Fateh Ali Khan,Romantic,Once Upon A Time In Mumbai,9.4/10
Laal Ishq,Arijit Singh,Sad,Goliyon Ki Rasleela Ram-leela,9.5/10
Tujhe Jeevan Ki Dor Se,"Lata Mangeshkar, Mohammed Rafi",Romantic,Asli Naqli,9.0/10
Aao Bachho Tumhe Dikhaye,Kavi Pradeep,Patriotic,Jagriti,9.3/10
Mujhse Mohabbat Ka,"Alka Yagnik, Kumar Sanu",Romantic,Hum Hain Rahi Pyaar Ke,8.8/10
Mujhe Pyaar Hua,"Abhijeet, Alka Yagnik",Dance,Judaai,7.7/10
Satarangi Re,"Kavita Krishnamurthy, Sonu Nigam",Dance,Dil Se,9.4/10
Mann Ki Lagan,Rahat Fateh Ali Khan,Sad,Paap,9.2/10
Dil Na Jaane Kyun,"Anushka Manchanda, Atif Aslam",Dance,Jayantabhai Ki Luv Story,9.5/10
Usne Bola Kem Che,"Bali Brahmbhatt, Sunidhi Chauhan",Dance,Jis Desh Main Ganga Rehta Hai,8.9/10
Sajna Ve Sajna,Sunidhi Chauhan,Dance,Chameli,9.4/10
Mera Yaar,Javed Bashir,Romantic,Bhaag Milkha Bhaag,9.5/10
Jiyein Kyun,Papon,Sad,Dum Maaro Dum,9.7/10
Dil Ki Hai Tamanna,"Neha Bhasin, Shalini Singh, Vijay Prakash",Dance,Force,9.6/10
Dum Duma Dum,"Anuradha Paudwal, Udit Narayan",Dance,Dil,8.7/10
Dil Chahta Hai,Shankar Mahadevan,Dance,Dil Chahta Hai,9.5/10
Aai Pappi – Tu Hai Meri Soniye,Neeraj Shridhar,Dance,Kismat Konnection,9.5/10
Where’s the Party Tonight,"Loy Mendonsa, Shaan, Shankar Mahadevan, Vasundhara Das",Dance,Kabhi Alvida Naa Kehna,9.3/10
Prem Jaal Mein,"Anuradha Sriram, Sukhwinder Singh",DanceRomantic,Jis Desh Mein Ganga Rehta Hai,8.7/10
Boi Boi,"Arun Bakshi, Vinod Rathod",Dance,Laadla,8.4/10
Jeevan Se Bhari Teri Ankhen,Kishore Kumar,Romantic,Safar,9.1/10
Teri Pyari Pyari Soorat Ko,Mohammed Rafi,Romantic,Sasural,9.1/10
Bas Ek Kinng,"Hard Kaur, Jaaved Jaffrey, Neeraj Shridhar",Dance,Singh Is Kingh,9.3/10
Jeena Yahan Marna Yahan,Mukesh,Sad,Mera Naam Joker,8.8/10
Banarasiya,"Anwesshaa, Meenal Jain, Shreya Ghoshal",Romantic,Raanjhanaa,9.3/10
What’s Going On?,"Kunal Ganjawala, Sunidhi Chauhan",Dance,Salaam Namaste,9.5/10
Aye Watan Aye Watan,"Jaspinder Narula, Sukhwinder Singh, Udit Narayan",Patriotic,Hindustan Ki Kasam,8.9/10
Dulhan Hum Le Jayenge,"Alka Yagnik, Kumar Sanu, Sunita Rao",Romantic,Dulhan Hum Le Jayenge,8.6/10
Aa Bhi Ja Sanam,Atif Aslam,Sad,Prince,9.4/10
Salaam Namaste,"Kunal Ganjawala, Vasundhara Das",Dance,Salaam Namaste,9.2/10
Mar Jaava,"Merchant, Shruti Pathak",Sensual,Faraar,9.5/10
Koi Jaye To Le Aaye,"Alka Yagnik, Anu Malik, Shankar Mahadevan",Dance,Ghatak,9.0/10
Tumhi Dekho Naa,"Alka Yagnik, Sonu Nigam",Romantic,Kabhi Alvida Naa Kehna,9.7/10
Sau Dard,"Sonu Nigam, Suzanne",Sad,Jaan-E-Mann,9.6/10
Piya Milenge,Sukhwinder Singh,Sad,Raanjhanna,9.4/10
Chandan Sa Badan,Mukesh,Romantic,Saraswatichandra,9.1/10
Kyun (Duet),"Shaan, Shreya Ghoshal",Sad,Kambakkht Ishq,9.4/10
Alcoholic,Yo Yo Honey Singh,Dance,The Shaukeens,9.2/10
Jis Gali Mein Tera Ghar,Mukesh,Romantic,Kati Patang,8.9/10
Kurbaan Hua,Vishal Dadlani,Dance,Kurbaan,9.7/10
Nagada Nagada,"Javed Ali, Sonu Nigam",Dance,Jab We Met,9.2/10
Main Tujhse Pyaar Nahin Karta,Papon,Sad,Baby,9.4/10
Ishq Tera,"Shreya Ghoshal, Sonu Nigam",Romantic,Ishq Tera,9.4/10
Oh Jaaniya,"Raj Pandit, Salim Merchant, Shreya Ghoshal",Romantic,Wedding Pullav,9.6/10
Jab Kisiki Taraf Dil,Kumar Sanu,Romantic,Pyaar To Hona Hi Tha,9.3/10
Aye Meri Zindagi – Male Version,"Shreya Ghoshal, Udit Narayan",Sad,Saaya,9.1/10
Jiya Lage Na,"Ravindra Upadhyay, Sona Mohapatra",Romantic,Talaash,9.3/10
Paas Woh Aane Lage,"Alka Yagnik, Kumar Sanu",Romantic,Main Khiladi Tu Anari,8.8/10
Pee Paa Pee Paa,Diljit Dosanjh,Dance,Tere Naal Love Ho Gaya,9.4/10
Ada,Sonu Nigam,Dance,Garam Masala,9.3/10
Pag Ghungaru Bandh,Kishore Kumar,Dance,Namak Halaal,8.5/10
Dekho Zara Kaise Balkhake Chali,Gurdas Maan,Dance,Sirf Tum,8.0/10
Aap Ki Kashish,Himesh Reshammiya,Romantic,Aashiq Banaya Aapne,9.4/10
Happy Budday,"Shankar Mahadevan, Sukhwinder Singh",Dance,Kill Dil,9.2/10
Hudd Hudd Dabangg,"Sukhwinder Singh, Wajid",Dance,Dabangg,9.1/10
Bhool Bhulaiyaa,Neeraj Shridhar,Dance,Bhool Bhulaiyaa,9.3/10
Tere Mast Mast Do Nain,"Rahat Fateh Ali Khan, Shreya Ghoshal",Romantic,Dabangg,9.0/10
Jai Ho Tiltle Song,"Armaan Malik, Wajid",Dance,Jai Ho,9.2/10
High Heels Te Nachche (Remix),"Aditi Singh Sharma, Jaz Dhami, Meet Bros",Dance,Ki & Ka,8.9/10
Shukran Allah,"Salim Merchant, Shreya Ghoshal, Sonu Nigam",Romantic,Kurbaan,9.6/10
Tere Naina,"Shankar Mahadevan, Shreya Ghoshal",Romantic,Chandni Chowk To China,9.6/10
Mere Mehboob Qayamat Hogi,Kishore Kumar,Sad,Mr.X In Bombay,9.1/10
Saad Shukrana,Ankit Tiwari,Romantic,Mr. X,9.4/10
Honeymoon Ki Raat,Sunidhi Chauhan,Dance,The Dirty Picture,8.5/10
Sadda Dil Vi Tu,Hard Kaur,Dance,ABCD - Any Body Can Dance,8.9/10
Yeh Jo Halki Halki Khumariya,Rahat Fateh Ali Khan,Romantic,Son of Sardaar,9.2/10
Aye Khuda,"Kshitij Tarey, Mithoon, Saim Bhat",Sad,Murder 2,9.3/10
Main Hoon Na,Abhijeet,Sad,Main Hoon Na,9.5/10
Hum To Tere Aashiq Hain,"Lata Mangeshkar, Mukesh",Romantic,Farz,8.4/10
Jugnu Ki Payal,"Shaswati, Zubeen Garg",Dance,Aan - Men At Work,8.3/10
Jai Mata Di,"Alamgir Khan, Javed Ali",Devotional,Nanu Ki Jaanu,8.9/10
Mera Piya Ghar Aaya,Kavita Krishnamurthy,Dance,Yaraana,8.9/10
Khushiyon Ka Din Aaya Hai,Anuradha Paudwal,Dance,Beta,8.4/10
Sooraj Ki Baahon Mein,"Clinton Cerejo, D Cerejo, Loy Mendonsa",Dance,Zindagi Na Milegi Dobara,9.5/10
